pickup_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,tolls_amount
6/1/2016 12:00,1,1.309999943,-73.96243286,40.76732636,-73.94830322,40.77633667,9,0,0
6/1/2016 12:00,1,1.899999976,-73.98461914,40.75996399,-73.97201538,40.78221512,15.5,0,0
6/1/2016 12:00,1,0.899999976,-73.99241638,40.73057175,-73.98112488,40.73064041,6,1.200000048,0
6/1/2016 12:00,1,5,-74.00055695,40.72088242,-73.95780945,40.78254318,27,5.550000191,0
6/1/2016 12:00,1,0.819999993,-73.95330811,40.76502991,-73.95729065,40.76255035,9.5,0,0
6/1/2016 12:00,1,1.909999967,-73.97109985,40.74718094,-73.95236206,40.76869965,10.5,1.5,0
6/1/2016 12:00,2,9.600000381,-73.86290741,40.76884842,-73.95545959,40.76506424,30,9.050000191,5.539999962
6/1/2016 12:00,2,0.379999995,-73.96153259,40.76865005,-73.96631622,40.76964951,4,0,0
6/1/2016 12:00,2,4.099999905,-73.99188995,40.74513626,-74.01714325,40.7049408,19,0,0
6/1/2016 12:00,1,11.35000038,-73.87099457,40.77376556,-73.98685455,40.76151276,40,10.38000011,11.07999992
6/1/2016 12:00,1,0.660000026,-73.96006775,40.76662827,-73.9678421,40.76273727,6.5,0,0
6/1/2016 12:00,1,5.610000134,-73.98001099,40.75457382,-74.01262665,40.70164108,18.5,5.789999962,0
6/1/2016 12:00,1,1.950000048,-73.99033356,40.75679016,-73.98320007,40.74137878,17.5,0,0
6/1/2016 12:00,1,0.99000001,-74.00485992,40.74167633,-74.00178528,40.72851181,7,0,0
6/1/2016 12:00,2,3.089999914,-73.95939636,40.76758575,-73.98962402,40.73451614,19,3.960000038,0
6/1/2016 12:00,2,0.600000024,-73.98877716,40.75704956,-73.97817993,40.75240326,5.5,0,0
6/1/2016 12:00,1,1.399999976,-73.99107361,40.73361206,-74.00499725,40.7158432,13.5,2.849999905,0
6/1/2016 12:00,6,0.610000014,-73.99938965,40.72241974,-74.00569153,40.71483612,7,2.339999914,0
6/1/2016 12:00,1,0.569999993,-73.97138977,40.7588768,-73.9680481,40.76544189,6.5,1,0
